energy_meV,median,lower,upper
251.0,18.114448402081354,15.229229523996624,20.564576006561392
252.0,18.148509676245137,15.255753252926667,20.604051380866714
253.0,18.182507143566838,15.281968190992538,20.64337607199157
254.0,18.216441161295872,15.30855635710672,20.682804635864628
255.0,18.25031208336039,15.334969905356449,20.722101264357022
256.0,18.28412026041029,15.361069217268351,20.761327660553942
257.0,18.3178660398596,15.387512803157053,20.80059451029328
258.0,18.35154976592814,15.413716067015995,20.83977055288564
259.0,18.385171779682477,15.440073393714082,20.878789510086765
260.0,18.4187324190762,15.466317522766289,20.917644285564485
261.0,18.452232018989584,15.492408949169315,20.956294858777092
262.0,18.485670911268542,15.518518463258502,20.99501530251009
263.0,18.519049424763022,15.544354724447377,21.033658472856235
264.0,18.552367885364696,15.570363871300382,21.072261127319322
265.0,18.585626616044102,15.596458483445918,21.110772245578698
266.0,18.61882593688718,15.622579987220767,21.149210200246014
267.0,18.65196616513118,15.64862272925968,21.187652696772837
268.0,18.685047615200077,15.674439755022378,21.226209453964003
269.0,18.71807059873933,15.700327034574425,21.26436581188084
270.0,18.751035424650166,15.726176483711908,21.30266163760468
271.0,18.78394239912328,15.75199340198656,21.340954563068415
272.0,18.816791825672006,15.777781595632185,21.3790290041856
273.0,18.84958400516501,15.803269834321663,21.41720654331522
274.0,18.882319235858397,15.829079540013147,21.455339246128993
275.0,18.91499781342741,15.854629129447256,21.493114227962188
276.0,18.947620030997548,15.88013014377398,21.530897566552625
277.0,18.98018617917525,15.905499154603074,21.56869993857767
278.0,19.012696546078118,15.931119495179843,21.606398247507915
279.0,19.045151417364643,15.956326038711536,21.64394779979443
280.0,19.077551076263486,15.98160287285731,21.68150378983419
281.0,19.109895803602328,16.006957274526673,21.719128888396625
282.0,19.142185877836244,16.032236794894093,21.756581538755977
283.0,19.174421575075716,16.057527643574726,21.793861540108622
284.0,19.206603169114125,16.082559534653793,21.83119318092096
285.0,19.238730931454928,16.107461454255674,21.868390938742316
286.0,19.270805131338335,16.132739350682083,21.905474244128843
287.0,19.302826035767712,16.157876795528388,21.94258783136251
288.0,19.334793909535406,16.182977483769566,21.9796523815209
289.0,19.36670901524839,16.20804884587726,22.016579384453156
290.0,19.39857161335336,16.232857189769824,22.053474217527718
291.0,19.430381962161594,16.25774886061897,22.09033989084132
292.0,19.462140317873317,16.282655828892953,22.1272086737872
293.0,19.493846934601848,16.307295031278088,22.163916213372318
294.0,19.525502064397255,16.332145427516494,22.20058325082006
295.0,19.557105957269783,16.356873351158274,22.237107639743748
296.0,19.588658861212853,16.38163329437664,22.2735970326692
297.0,19.620161022225798,16.406360958440732,22.310136310564133
298.0,19.651612684336218,16.43092579218612,22.34665925885706
299.0,19.683014089622045,16.455466483224757,22.38303245386748
300.0,19.71436547823327,16.479894357125215,22.419194934618016
301.0,19.745667088413377,16.504195993159566,22.455489292565687
302.0,19.776919156520485,16.528747558921868,22.49163171769874
303.0,19.80812191704813,16.553386748377513,22.52768526707353
304.0,19.83927560264583,16.57813924091231,22.563716633513813
305.0,19.87038044413931,16.602555292526652,22.599588447897283
306.0,19.901436670550435,16.626903754128673,22.635440650579238
307.0,19.93244450911692,16.651056784484577,22.67136524104177
308.0,19.963404185311706,16.675343046457687,22.707233026413945
309.0,19.99431592286209,16.699420375242724,22.743075994523636
310.0,20.0251799437686,16.723761535735484,22.77872740505124
311.0,20.055996468323578,16.748024050127455,22.814456844715146
312.0,20.086765715129538,16.77228905323527,22.850121624849596
313.0,20.117487901117258,16.79641765549415,22.885755434850733
314.0,20.148163241563605,16.82046115972949,22.921340762832017
315.0,20.17879195010917,16.844505388143197,22.956722022075184
316.0,20.20937423877558,16.868618372524285,22.99221017023354
317.0,20.239910317982684,16.89259423356639,23.02768518066116
318.0,20.270400396565375,16.916455294511017,23.0630165852494
319.0,20.300844681790295,16.940330003160195,23.09837410740185
320.0,20.331243379372275,16.964128051491603,23.133365525936398
321.0,20.361596693490533,16.988170201750144,23.16844347920314
322.0,20.391904826804684,17.011748532823333,23.203507160395414
323.0,20.422167980470537,17.035439220472583,23.238545931487053
324.0,20.452386354155635,17.059307012863957,23.273540303963205
325.0,20.482560146054674,17.083014790842647,23.3084921151473
326.0,20.512689552904632,17.106842480256017,23.343241267580893
327.0,20.542774769999763,17.13039266959919,23.37814831021744
328.0,20.572815991206316,17.153993439397738,23.412898579127802
329.0,20.602813408977184,17.17748041243389,23.44775097209996
330.0,20.632767214366222,17.20099842970904,23.482316333382126
331.0,20.66267759704248,17.22440560860091,23.516905020492676
332.0,20.69254474530421,17.248058890641573,23.55146931179404
333.0,20.722368846092678,17.271350659382957,23.585999460616506
334.0,20.75215008500585,17.29484629963287,23.620462062296095
335.0,20.781888646311817,17.318416906639325,23.65485558515051
336.0,20.811584712962148,17.341932793772525,23.689221017939786
337.0,20.841238466604985,17.365421688757174,23.723520533480276
338.0,20.87085008759804,17.388725179039998,23.757725137244368
339.0,20.900419755021346,17.41194475816851,23.791912825819033
340.0,20.929947646689953,17.43512499968946,23.82613170721564
341.0,20.959433939166345,17.45819314415931,23.860193070302444
342.0,20.98887880777279,17.481407060535457,23.894317867661588
343.0,21.018282426603495,17.504473081452037,23.928298427144313
344.0,21.047644968536627,17.52763076579357,23.962317663653064
345.0,21.076966605246135,17.550780100516864,23.996204445112912
346.0,21.10624750721351,17.574020896600576,24.03005964274245
347.0,21.135487843739305,17.596757572999017,24.063913237217818
348.0,21.164687782954598,17.619532841366752,24.097683572424334
349.0,21.19384749183223,17.642444571844937,24.131404380228876
350.0,21.22296713619797,17.665091029170643,24.164998555083866
351.0,21.252046880741503,17.687907763323764,24.198614085030744
352.0,21.28108688902732,17.71053466847287,24.23224986021051
353.0,21.31008732350541,17.733334086174064,24.265814313920366
354.0,21.33904834552192,17.75613040423921,24.299427718660557
355.0,21.367970115329562,17.77888666088769,24.332884127155662
356.0,21.396852792098024,17.80170538357885,24.366371131650908
357.0,21.42569653392414,17.824475473224943,24.399780147609675
358.0,21.454501497841996,17.847118462744685,24.43300748463065
359.0,21.483267839832937,17.8697481658884,24.466316100948458
360.0,21.51199571483538,17.892292984898063,24.49955232668686
361.0,21.540685276754576,17.914809737549806,24.532810818503958
362.0,21.56933667847222,17.937291244856333,24.5658407049746
363.0,21.59795007185596,17.95974971455027,24.59900823412756
364.0,21.626525607768773,17.982199960158532,24.632018840707453
365.0,21.655063436078272,18.004698510884822,24.66509697208572
366.0,21.683563705665858,18.02728377864126,24.698222793756372
367.0,21.712026564435792,18.049813172837403,24.731178766567155
368.0,21.74045215932413,18.07246030756886,24.764029845179813
369.0,21.768840636307594,18.09491525802506,24.796891538510046
370.0,21.797192140412314,18.117307777395332,24.82975020451644
371.0,21.825506815722473,18.139612023815076,24.8623742865738
372.0,21.85378480538883,18.161893149392235,24.895186816378814
373.0,21.8820262516372,18.183931654264303,24.92793267561036
374.0,21.91023129577676,18.20611742437283,24.960609173627134
375.0,21.93840007820832,18.22833952512374,24.993091733959872
376.0,21.96653273843249,18.250525605756476,25.02556901056174
377.0,21.994629415057716,18.272750904804788,25.057977892574296
378.0,22.022690245808253,18.294893337792846,25.090476655185398
379.0,22.05071536753204,18.316859700996908,25.122900255341502
380.0,22.078704916208498,18.33872743071481,25.15531000079786
381.0,22.10665902695622,18.360836749468927,25.1876366016707
382.0,22.134577834040577,18.382918741718598,25.219762506053556
383.0,22.162461470881254,18.40488829210873,25.252073358586507
384.0,22.190310070059674,18.42700457748228,25.284178116207965
385.0,22.218123763326364,18.448797785235044,25.316379992060327
386.0,22.245902681608207,18.470507472891473,25.34831552008843
387.0,22.27364695501567,18.492348901235044,25.380501702904414
388.0,22.30135671284988,18.51426623298753,25.412466745237133
389.0,22.329032083609675,18.536155420491067,25.44450193162841
390.0,22.356673194998532,18.558061386833277,25.47648182281413
391.0,22.38428017393147,18.579866284460156,25.50841666553105
392.0,22.411853146541837,18.601691688497546,25.540234595833603
393.0,22.439392238188024,18.623486928380867,25.571989504877966
394.0,22.46689757346013,18.644934079432428,25.603798385879625
395.0,22.494369276186525,18.666709325317402,25.635764701831988
396.0,22.52180746944037,18.68839722487044,25.667376039292296
397.0,22.549212275546026,18.709903401877522,25.699099212976243
398.0,22.576583816085446,18.731536909613425,25.73074450362364
399.0,22.603922211904443,18.753073326575407,25.762389389788225
400.0,22.631227583118918,18.77465463323385,25.794020221409326
401.0,22.658500049121045,18.796242600174267,25.825583701975923
402.0,22.685739728585308,18.81769278415152,25.85714894832345
403.0,22.712946739474592,18.83910903478813,25.888634836435372
404.0,22.74012119904609,18.860539217149228,25.920109096273542
405.0,22.76726322385721,18.8816474872483,25.951545522035808
406.0,22.79437292977143,18.902972156912902,25.982925615768465
407.0,22.821450431964053,18.924287597801747,26.014178873915252
408.0,22.84849584492791,18.94558464922706,26.045394513050653
409.0,22.875509282479015,18.966792308565783,26.076708356795784
410.0,22.90249085776216,18.988003999348106,26.10780954430417
411.0,22.929440683256427,19.009292531397346,26.139048551973563
412.0,22.956358870780676,19.03057259645232,26.17007996712539
413.0,22.983245531498945,19.05168686268634,26.201168076616742
414.0,23.01010077592582,19.072824653997806,26.232241516864786
415.0,23.036924713931715,19.09411800646765,26.26311496369083
416.0,23.063717454748126,19.11547605932011,26.294158271440818
417.0,23.090479106972836,19.13668213085462,26.32508380438398
418.0,23.117209778575024,19.157897878153772,26.356000613628794
419.0,23.143909576900366,19.179090933311123,26.386933623823154
420.0,23.170578608676045,19.200078197865633,26.417871481888586
421.0,23.197216980015764,19.22106151318172,26.448659209461464
422.0,23.22382479642463,19.242188269319826,26.479476766610443
423.0,23.25040216280405,19.26309512252035,26.51017300800476
424.0,23.27694918345655,19.28409591115222,26.54090027087201
425.0,23.303465962090584,19.304976774981682,26.57156729253949
426.0,23.329952601825195,19.325735316891418,26.602272555677015
427.0,23.35640920519474,19.346517934559323,26.63281071698013
428.0,23.382835874153532,19.36719328135707,26.663453618071564
429.0,23.409232710080378,19.38787756811975,26.693948570352365
430.0,23.43559981378315,19.408801523709222,26.72449236462377
431.0,23.46193728550327,19.429402842102057,26.7549984976182
432.0,23.48824522492015,19.450318351769255,26.785287161990443
433.0,23.5145237311556,19.47111057097623,26.815613067541406
434.0,23.54077290277818,19.49186416148726,26.845984224613755
435.0,23.566992837807522,19.512743760285606,26.87625148645644
436.0,23.593183633718596,19.533288995943934,26.90640002141545
437.0,23.61934538744591,19.553996179595696,26.936681734354423
438.0,23.645478195387764,19.57457706088603,26.96693814941588
439.0,23.671582153410316,19.595404507926023,26.997193052901938
440.0,23.697657356851742,19.616186634307798,27.027294866540796
441.0,23.723703900526267,19.636764218906713,27.05730456347385
442.0,23.7497218787282,19.65738344488885,27.08722252886795
443.0,23.77571138523591,19.67802008133449,27.11725662238573
444.0,23.80167251331579,19.69838829747089,27.147318252411694
445.0,23.827605355726114,19.718735946843392,27.177448182996045
446.0,23.853510004720974,19.739254344499074,27.20743162014309
447.0,23.879386552054033,19.759639057549254,27.237341148977606
448.0,23.905235088982387,19.77995197838142,27.267175569294633
449.0,23.931055706270264,19.80046850852027,27.29695407352835
450.0,23.956848494192766,19.820916687516586,27.32679506562876
451.0,23.98261354253956,19.84107482683279,27.356543428644773
452.0,24.008350940618506,19.861565429093034,27.386187384352343
453.0,24.034060777259285,19.88193206144272,27.415903342386894
454.0,24.059743140816963,19.90227302943766,27.445599889543864
455.0,24.085398119175537,19.922559234191365,27.475300480447434
456.0,24.111025799751456,19.94274389133743,27.505010775584005
457.0,24.13662626949706,19.9630346877223,27.534640817218193
458.0,24.162199614904097,19.983253664647638,27.56415343246493
459.0,24.187745922007025,20.003501349726875,27.59356079934833
460.0,24.213265276386473,20.023637820228704,27.62298447796132
461.0,24.238757763172572,20.04368158011931,27.652488151249134
462.0,24.264223467048236,20.063816579038342,27.682010817528685
463.0,24.28966247225247,20.084022846147725,27.711291286184455
464.0,24.315074862583614,20.10406558059,27.740521619049826
465.0,24.340460721402568,20.124124692640105,27.76976695349248
466.0,24.365820131635974,20.144146637168134,27.799008871967587
467.0,24.39115317577938,20.164102476671605,27.828248611313903
468.0,24.416459935900374,20.18414282493657,27.85758054950607
469.0,24.44174049364169,20.20423325013197,27.88678194321637
470.0,24.466994930224256,20.224275434920248,27.915970434020803
471.0,24.49222332645028,20.244208508200803,27.94509424332391
472.0,24.51742576270623,20.263912978958025,27.974211089856528
473.0,24.542602318965823,20.28395404820039,28.003281327141583
474.0,24.567753074793025,20.30387990101066,28.032285649576764
475.0,24.592878109344948,20.323745936063467,28.06137153076938
476.0,24.617977501374753,20.344070168724826,28.090379682214095
477.0,24.643051329234567,20.363999702704998,28.119403139650405
478.0,24.668099670878277,20.38376873979205,28.148101891097234
479.0,24.69312260386443,20.403619929438676,28.177110783349548
480.0,24.71812020535899,20.42354477264407,28.20599708667568
481.0,24.7430925521381,20.44338986108894,28.234805925591655
482.0,24.768039720590885,20.463404082875222,28.26365990206939
483.0,24.792961786722124,20.482902996151502,28.292446336006215
484.0,24.81785882615499,20.502602491287437,28.321231859857374
485.0,24.84273091413371,20.522290879951754,28.349871400563075
486.0,24.86757812552622,20.541809662093417,28.378556126842316
487.0,24.89240053482681,20.56154653535876,28.407297855362348
488.0,24.91719821615869,20.581204500771797,28.436003256994145
489.0,24.941971243276612,20.600644186075957,28.46457405584225
490.0,24.966719689569413,20.62025939018417,28.4932816448548
491.0,24.99144362806256,20.639653379801768,28.521982573255688
492.0,25.016143131420648,20.659280704399826,28.55054902730923
493.0,25.0408182719499,20.678787448349613,28.579099816487176
494.0,25.06546912160065,20.69833538404107,28.60741685174472
495.0,25.090095751969766,20.7177884529459,28.63585954186535
496.0,25.114698234303095,20.73738139867834,28.664211906646724
497.0,25.13927663949786,20.75678690436794,28.69258723631095
498.0,25.163831038105037,20.776316989874932,28.72087641435829
499.0,25.188361500331737,20.79581025626267,28.749141504315823
500.0,25.212868096043533,20.815099090950525,28.77743395777893
