mass_eV,chi_1pct,chi_5pct,chi_10pct,chi_20pct,chi_30pct,chi_40pct,chi_50pct,chi_60pct,chi_70pct,chi_80pct,chi_90pct
0.013,8.744506845059681e-12,1.4229515232791054e-11,1.6470793684526564e-11,1.9519070411947778e-11,2.1179697359530674e-11,2.298160572066647e-11,2.4790146237247778e-11,2.6580244809379142e-11,2.8499606551936222e-11,3.0705568672965845e-11,3.502889242397251e-11
0.0135,1.2547439656840491e-11,1.5530426138631817e-11,1.7929023289188428e-11,2.0116882672557412e-11,2.1741459699877296e-11,2.3497232527294868e-11,2.5089289211947707e-11,2.6683778593146898e-11,2.8379601908730577e-11,3.01831991929686e-11,3.442350562604189e-11
0.014,8.630680996736545e-12,1.3358146642600067e-11,1.5517075128747612e-11,1.7781784969447695e-11,1.959849975111946e-11,2.095600552716018e-11,2.240754002761276e-11,2.3961044782673296e-11,2.587684381564151e-11,2.794582005636554e-11,3.0180220748200416e-11
0.0145,1.0294216251667977e-11,1.3101881599481808e-11,1.5249293106534428e-11,1.7502464178292033e-11,1.9393992922912943e-11,2.0594397878378706e-11,2.186910275046484e-11,2.322270638523944e-11,2.4910598149793136e-11,2.700774329701189e-11,2.928144051825367e-11
0.0151,8.375118198018544e-12,1.2365317165655348e-11,1.477385215475717e-11,1.6495753856619226e-11,1.8330999865136022e-11,1.967087097114158e-11,2.082833369619945e-11,2.205390321540294e-11,2.3351587031809027e-11,2.5394285748845782e-11,2.8206936533581408e-11
0.0156,1.0057927466591011e-11,1.264817534104349e-11,1.4919637935113965e-11,1.6471030736065475e-11,1.8183742439882634e-11,1.9544112546618242e-11,2.0669134671310752e-11,2.185891669635835e-11,2.3117186410399106e-11,2.4937318396423797e-11,2.783376588255969e-11
0.0162,8.744506845059681e-12,1.2704788679744128e-11,1.4832640405737245e-11,1.5999157882514647e-11,1.7220818670638045e-11,1.8535762811060214e-11,1.969966331925995e-11,2.085030332254988e-11,2.2068151196132524e-11,2.3357132492584167e-11,2.608413561027244e-11
0.0168,6.280405034574066e-13,9.471410096792769e-12,1.1315693502795762e-11,1.3156449781279144e-11,1.491900293574801e-11,1.600598690141232e-11,1.717216745593037e-11,1.842331478532547e-11,1.985120568581125e-11,2.143820921881847e-11,2.3152085660889225e-11
0.0175,3.486448704599857e-12,1.040743187468416e-11,1.2076853131155205e-11,1.3748014024429511e-11,1.5228852373443556e-11,1.6171402360699343e-11,1.7172289014217914e-11,1.8235122929380747e-11,1.9507639147736903e-11,2.107770018535693e-11,2.27741266761814e-11
0.0181,8.533231116672059e-12,1.2008110744387921e-11,1.2949378254402192e-11,1.4944502897472185e-11,1.583257656800107e-11,1.6773423813515846e-11,1.7770180691653642e-11,1.8826169619560217e-11,2.0202925995633586e-11,2.169318054678401e-11,2.3293362671183202e-11
0.0188,6.5485603037538824e-12,9.503231383971702e-12,1.0693683382482994e-11,1.2361578889485998e-11,1.3485652502872748e-11,1.471194133484998e-11,1.5643798763602046e-11,1.6573427931217734e-11,1.7558300099740116e-11,1.8601698071877507e-11,2.1071221492590335e-11
0.0195,6.599793425081016e-12,9.351936316004825e-12,1.0896110843563404e-11,1.2508992521476758e-11,1.3625202602902845e-11,1.484101502590351e-11,1.5656350297911337e-11,1.650239414837514e-11,1.7394156840285938e-11,1.83341089458984e-11,2.0318664857229462e-11
0.0202,6.801189646445021e-12,9.357234339990769e-12,1.0636840416756904e-11,1.22559905521635e-11,1.3168708029651005e-11,1.4149396609936408e-11,1.5137288039319818e-11,1.6034581984944984e-11,1.698506487846915e-11,1.7991889604398445e-11,1.953464442101071e-11
0.021,4.0819853416869753e-13,7.749870182968931e-12,8.995412944755578e-12,1.0457664124379545e-11,1.1841072508611648e-11,1.2605900313150731e-11,1.3420129180825833e-11,1.4286949980254023e-11,1.5305975512294838e-11,1.6585281060389475e-11,1.797151365041431e-11
0.0218,5.6143150412946884e-12,8.678425958102167e-12,9.749093448052381e-12,1.1154748980611786e-11,1.2131575670581967e-11,1.28103957945973e-11,1.3527199175963522e-11,1.4284111160980813e-11,1.518691795506631e-11,1.64697573632111e-11,1.7860958254045035e-11
0.0226,4.344941017625617e-12,6.80980271013145e-12,7.990401748881121e-12,9.52069913091797e-12,1.0351366075705184e-11,1.1254507485200704e-11,1.2081506343390897e-11,1.2814246674607308e-11,1.3591427523233605e-11,1.4415744195510712e-11,1.6048292897107403e-11
0.0234,6.152756706246777e-12,7.644699951582165e-12,8.907314361393827e-12,9.943538480239735e-12,1.0811097534062964e-11,1.1740195303484953e-11,1.2319635594724047e-11,1.2927674307235653e-11,1.3565722923292766e-11,1.4235262589230715e-11,1.5166084907713155e-11
0.0243,4.992227204043404e-12,6.4940128721577256e-12,7.539240042835905e-12,8.626558300750706e-12,9.50939593266364e-12,1.0087439405346724e-11,1.0700620152645052e-11,1.1351074048633476e-11,1.2134526435385512e-11,1.3091994602319782e-11,1.412501127092604e-11
0.0252,5.013842488778352e-12,6.25790417804616e-12,7.302930331538167e-12,8.119420183228309e-12,9.027196086906922e-12,9.618811356481322e-12,1.0129328607676231e-11,1.0666941500329122e-11,1.1233088132338397e-11,1.1963589250836107e-11,1.3424362018146483e-11
0.0262,2.023214373245924e-12,5.342448956748461e-12,6.160953283264228e-12,7.302761586521786e-12,7.892614582558238e-12,8.530110727396824e-12,9.219098216508344e-12,9.774472000266259e-12,1.0358212801799919e-11,1.097681516141727e-11,1.1632361044656543e-11
0.0272,3.934041167143834e-12,5.425193797458182e-12,6.129927404246217e-12,7.178638970494537e-12,7.694284088065948e-12,8.176873313749436e-12,8.68973076946965e-12,9.234754893278734e-12,9.875970742162282e-12,1.056197635058752e-11,1.1295633345096897e-11
0.0282,2.5349505998242957e-13,4.545156399821959e-12,5.204725111034047e-12,6.128633869687278e-12,6.79512515631554e-12,7.401696157737658e-12,7.781944326543931e-12,8.181727027273623e-12,8.60204780963123e-12,9.043961778793137e-12,1.0079403246173689e-11
0.0293,3.424035097023069e-12,4.703584328169873e-12,5.22223253304425e-12,5.996578386220954e-12,6.49968099373985e-12,7.0449930442761024e-12,7.518411841864481e-12,7.93908697869418e-12,8.383300008162492e-12,8.852367937958634e-12,9.640468603784583e-12
0.0296,3.1445195234670366e-12,4.2346790225955355e-12,4.9084133774245035e-12,5.8404134456085495e-12,6.257141458462557e-12,6.7036040506086625e-12,7.181922858170263e-12,7.641570770345213e-12,8.117102692899013e-12,8.622226778656387e-12,9.158784536213361e-12
0.0304,2.698272115976341e-12,4.275143256156444e-12,4.943474915983554e-12,5.837045114484841e-12,6.184868042566323e-12,6.553417346224201e-12,6.943928086778046e-12,7.371737094524808e-12,7.891493012123951e-12,8.447895138128942e-12,9.043527271098082e-12
0.0315,2.5675008124158576e-12,3.793210097310915e-12,4.5631744165242086e-12,5.1320258092785915e-12,5.75294653751676e-12,6.082582538307588e-12,6.431106232962555e-12,6.799599860614065e-12,7.1892076712227755e-12,7.82998983590798e-12,8.600702158068586e-12
0.0323,2.698272115976341e-12,3.7147775929959955e-12,4.532290062677574e-12,4.947621164860965e-12,5.401012479884962e-12,5.833237352295591e-12,6.154360263162572e-12,6.493161166138532e-12,6.850613244370576e-12,7.22774325527103e-12,8.131109870891536e-12
0.0327,2.967050649524049e-12,3.646051995028651e-12,4.302601914737834e-12,4.857354469231717e-12,5.286013034736671e-12,5.746942385846135e-12,6.078624597059155e-12,6.429449698847537e-12,6.800522514584927e-12,7.193011632032267e-12,8.084900805602977e-12
0.0339,2.6227511431000945e-12,3.864682694384626e-12,4.494180682304868e-12,4.855246564025077e-12,5.222582994759454e-12,5.617711227942027e-12,5.967231517437615e-12,6.306699399914507e-12,6.6654791597497015e-12,7.04466942401914e-12,7.799777822533209e-12
0.0352,2.5675008124158576e-12,3.5739328597461052e-12,3.878001932162134e-12,4.536556787253093e-12,4.812420016722745e-12,5.10505819797681e-12,5.415491398125757e-12,5.74563650734384e-12,6.129214560001325e-12,6.5384002406896555e-12,6.974903111801242e-12
0.0365,2.5675008124158576e-12,3.389702373936672e-12,3.731157095586486e-12,4.17751866892687e-12,4.5927693428794375e-12,4.8416041231347375e-12,5.1039206925334e-12,5.380449490117382e-12,5.671960529883385e-12,6.1689228730357174e-12,6.766299483521044e-12
0.0379,1.7060801428053075e-12,2.87256555557185e-12,3.189251644172289e-12,3.681039423555769e-12,3.946823007818094e-12,4.231797072141898e-12,4.533636385353434e-12,4.7891323718662985e-12,5.059026998582218e-12,5.344131710105573e-12,5.645303680521912e-12
0.0393,1.9899770449097166e-12,2.7345813582448886e-12,2.9954496476774343e-12,3.4493490517581335e-12,3.7178329473398895e-12,3.929803125426571e-12,4.1538586653448654e-12,4.390688607279198e-12,4.691024403339145e-12,5.0712551643697274e-12,5.482305511742875e-12
0.0408,1.5238749366422635e-12,2.3008378021183155e-12,2.6473056756047315e-12,2.973709610115648e-12,3.1986501202764937e-12,3.440605820131499e-12,3.666369779375949e-12,3.8739172892744124e-12,4.093213741984728e-12,4.3249242269472415e-12,4.702159182057903e-12
0.0423,1.538974691786676e-12,2.0815290792339165e-12,2.390638346378067e-12,2.8368753730035278e-12,3.017162096770677e-12,3.2089062511588544e-12,3.4128359691869276e-12,3.63424357787402e-12,3.880964244968711e-12,4.144434226265191e-12,4.425790595238229e-12
0.0439,1.2838953443785136e-12,1.8130229476190987e-12,2.0861201343358694e-12,2.385395480635086e-12,2.6241260407215633e-12,2.854539885867946e-12,3.022521772767148e-12,3.200388935561759e-12,3.388723095777415e-12,3.6178409950189434e-12,4.085827899094444e-12
0.0455,1.443880691508683e-12,1.7502925077255152e-12,1.9381187687709624e-12,2.2703600669136016e-12,2.4448738881204037e-12,2.632801913636041e-12,2.828169834434546e-12,2.9902022809626374e-12,3.1615179442934167e-12,3.342648681570637e-12,3.534156821274375e-12
0.0472,8.074686815519778e-13,1.5592295256304673e-12,1.8108903982168537e-12,2.085397016186513e-12,2.2952315531033654e-12,2.445508955583166e-12,2.6056255821994238e-12,2.776225643791647e-12,2.9791314148048088e-12,3.2016595249809018e-12,3.4408095134576497e-12
0.049,8.348853740698501e-13,1.4942954624609967e-12,1.7500509461485592e-12,1.93133220455689e-12,2.1313917132341325e-12,2.2871381182680613e-12,2.413039716691479e-12,2.545871903328586e-12,2.6860161908336333e-12,2.8662464484191845e-12,3.223486251275856e-12
0.0509,9.741062092012857e-13,1.4188732622403397e-12,1.5909695117559195e-12,1.828369323419964e-12,1.9796769833064982e-12,2.143506187744828e-12,2.289409425174191e-12,2.423481089288543e-12,2.5654042154090952e-12,2.7156385983481364e-12,3.011396152470132e-12
0.0528,1.0251376611482395e-12,1.4477745050582506e-12,1.7042464869920036e-12,1.9112538370205197e-12,2.1100963214286877e-12,2.269550114481697e-12,2.383683403447434e-12,2.503556335511175e-12,2.629457551289419e-12,2.7616902068318105e-12,3.1089031405384444e-12
0.0547,1.256874682140755e-12,1.674113780451797e-12,1.834374653304828e-12,2.0655036314524964e-12,2.266500184695279e-12,2.4008798795363713e-12,2.5432268812003452e-12,2.694013567438058e-12,2.870209593624834e-12,3.102021953794746e-12,3.3525566297310543e-12
0.0558,1.0003172723023043e-12,1.7688755806864569e-12,1.9639572655601002e-12,2.281006278223268e-12,2.449289589308832e-12,2.629988154600527e-12,2.820436474758531e-12,2.9835935573186273e-12,3.156188978174147e-12,3.338768727902875e-12,3.531910381637216e-12
0.0568,8.348853740698501e-13,1.7895441980943557e-12,1.9798715506015055e-12,2.2853653386183996e-12,2.456618289981783e-12,2.640704013793016e-12,2.8348484147142677e-12,3.021470313529616e-12,3.22037778392496e-12,3.4323796016656862e-12,3.821354544039281e-12
0.0589,1.256874682140755e-12,1.9044582505907487e-12,2.2367128435242394e-12,2.472425138011888e-12,2.732977583944778e-12,2.9243234775972787e-12,3.0922682164962875e-12,3.2698580700824957e-12,3.4576469600680956e-12,3.741285087536666e-12,4.1556278309144614e-12
0.0611,1.882408653941353e-12,2.3304441623046698e-12,2.672737902582022e-12,2.974924743394521e-12,3.1930407188555553e-12,3.4271485538945206e-12,3.655109606461023e-12,3.868607611452921e-12,4.094576213237578e-12,4.333743829789551e-12,4.746870825846616e-12
0.0634,1.882408653941353e-12,2.374541868709014e-12,2.8224727327497608e-12,3.1440337562896803e-12,3.5022298518571203e-12,3.720416587142333e-12,3.917459824296403e-12,4.124938999576955e-12,4.3434068282466356e-12,4.643199102232469e-12,5.225064460406149e-12
0.0658,1.7060801428053075e-12,2.9501811920696375e-12,3.3402852965597298e-12,3.762333859869282e-12,4.050564240858444e-12,4.3608757968893064e-12,4.6505262925748664e-12,4.915109934597689e-12,5.1947466048633425e-12,5.49029271935258e-12,5.976954522267264e-12
0.0683,2.698272115976341e-12,3.520875385844814e-12,3.8635135139133814e-12,4.54072366053981e-12,4.8388800137298646e-12,5.156614129759823e-12,5.4952115381638206e-12,5.8544370778268374e-12,6.233606210253359e-12,6.637332653497961e-12,7.0672068891242555e-12
0.0709,3.2045934643919456e-12,3.998777141206061e-12,4.595027633677462e-12,5.090267019296166e-12,5.638881937908523e-12,6.033444512939288e-12,6.4108852707779894e-12,6.81193800107659e-12,7.238079823705874e-12,7.888492467009633e-12,8.619719908697492e-12
0.0735,2.1262944543477958e-12,3.793210097310915e-12,4.569551065474092e-12,5.228655399037671e-12,5.865497947101775e-12,6.299595778884915e-12,6.765820623456815e-12,7.266550159016138e-12,7.772216034448695e-12,8.312228063964515e-12,8.889760022253488e-12
0.0751,4.992227204043404e-12,6.107076867486961e-12,6.888734816206392e-12,7.726871800447127e-12,8.348874919685263e-12,9.020948480148953e-12,9.579987900943532e-12,1.0096491908579644e-11,1.0640843173713593e-11,1.1214543078210248e-11,1.2110058680536512e-11
0.0763,6.165847667816804e-12,7.52748787455626e-12,8.307006722377986e-12,9.511304533508697e-12,1.0133898843093194e-11,1.0797247149457185e-11,1.1504017142021982e-11,1.2210604407834883e-11,1.294004662985435e-11,1.3713064578143569e-11,1.4532261397766944e-11
0.0792,4.344941017625617e-12,5.1007328018217185e-12,5.835205754809989e-12,6.652127910713247e-12,7.387057334674754e-12,7.743519624094052e-12,8.117182993459162e-12,8.508877480505065e-12,8.9194731764193e-12,9.511270107137258e-12,1.0654717097082685e-11
0.0821,3.8288829151638194e-12,5.044508470180281e-12,6.005817266637543e-12,6.997785094060318e-12,7.588550456524943e-12,8.026505661130453e-12,8.489736412408534e-12,8.97970142863192e-12,9.598898185410017e-12,1.0371399060356857e-11,1.1206069320817202e-11
0.0852,6.2459285788430575e-12,7.601954032269001e-12,8.38918432040512e-12,9.530373800110993e-12,1.013113082689077e-11,1.0769757197811221e-11,1.1448640046375067e-11,1.2148128231381446e-11,1.2875660225405452e-11,1.3646762948372037e-11,1.4464045781636444e-11
0.0884,3.486448704599857e-12,6.3714185996570435e-12,7.470247902224725e-12,8.4013893994014e-12,9.328960440875656e-12,9.820809655141556e-12,1.0338590552911442e-11,1.0883670325978746e-11,1.1457488248360167e-11,1.2380063202735636e-11,1.3656608242342924e-11
0.09,6.362647383468083e-12,7.950754108780701e-12,9.270591457757285e-12,1.0129711855537315e-11,1.1068448301683288e-11,1.1917597605418778e-11,1.249154191897382e-11,1.3093127044542218e-11,1.372368414696124e-11,1.4384608499163943e-11,1.5689195957149812e-11
0.0917,6.3352193877093964e-12,8.69110390314877e-12,9.688758782332616e-12,1.0883637624908026e-11,1.1939597580515124e-11,1.256375038228929e-11,1.3220531312217316e-11,1.3911646033950469e-11,1.463888937618429e-11,1.5894217385408697e-11,1.7504834896638584e-11
0.0945,5.0636009447140114e-12,7.484141021813899e-12,8.895848641853669e-12,9.93161741329398e-12,1.077350194986304e-11,1.1686751455844418e-11,1.2343876866729175e-11,1.3024989621117747e-11,1.3743684942895815e-11,1.4502036570019987e-11,1.6150687095827555e-11
0.0952,5.359447128545281e-12,7.507950809123059e-12,8.638545878735315e-12,9.88416721778655e-12,1.0803720776219262e-11,1.1772778184770627e-11,1.2407691367372965e-11,1.307684580918488e-11,1.378208816241713e-11,1.4525364670372168e-11,1.6183192588664964e-11
0.0987,2.1650664311531087e-12,6.566181890784852e-12,7.861928639653456e-12,9.34148996279834e-12,1.0013869128132038e-11,1.0734644613943014e-11,1.1507299877120617e-11,1.2253011913693056e-11,1.3015541512796271e-11,1.382552486397319e-11,1.468591510974912e-11
0.1022,7.124593453156207e-12,1.081269146875318e-11,1.2207604252953645e-11,1.3858589957018474e-11,1.5256072189373888e-11,1.615593377652005e-11,1.71088726476467e-11,1.8118019504313787e-11,1.931047502698974e-11,2.0913339850258723e-11,2.2649250372200606e-11
